LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"21ST CENTURY EQUIPMENT, LLC",601   5TH AVE,SCOTTSBLUFF,NE,69361,811310,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,NA,250,04/03/2020,Farmers State Bank,NE - 03
a $5-10 million,ALL NATIVE MANAGED SERVICES COMPANY,1 Mission Drive,WINNEBAGO,NE,68071,541611,Corporation,Unanswered,Unanswered,Unanswered,NA,355,04/13/2020,Great Western Bank,NE - 01
a $5-10 million,"ATLASMEDSTAFF, LLC",11159 Mill Valley Road,OMAHA,NE,68154,561320,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,NA,NA,04/27/2020,Great Western Bank,NE - 02
a $5-10 million,AURORA COOPERATIVE ELEVATOR COMPANY,2225 Q ST,AURORA,NE,68818,325193,Corporation,Unanswered,Unanswered,Unanswered,NA,500,04/27/2020,CoBank ACB,NE - 03
a $5-10 million,BUILDERTREND SOLUTIONS INC.,11818 I St,OMAHA,NE,68137,511210,Corporation,White,Male Owned,Non-Veteran,NA,497,04/06/2020,Northwest Bank,NE - 02
a $5-10 million,"BUSCO, INC.",4220 S 52nd Street,OMAHA,NE,68117,485510,Corporation,Unanswered,Unanswered,Unanswered,NA,500,04/28/2020,Union Bank and Trust Company,NE - 02
a $5-10 million,BWS LEASING INC,1801 S 54TH ST,OMAHA,NE,68106,561330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,449,04/27/2020,Security National Bank of Omaha,NE - 02
a $5-10 million,"CHEYENNE COUNTY HOSPITAL ASSOCIATION, INC",1000 Pole Creek Crossing,SIDNEY,NE,69162,622110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,411,04/04/2020,Points West Community Bank,NE - 03
a $5-10 million,"COOPERATIVE PRODUCERS, INC.",265 N Showboat,HASTINGS,NE,68901,424910,Corporation,Unanswered,Unanswered,Unanswered,NA,368,04/13/2020,CoBank ACB,NE - 03
a $5-10 million,"DATA SYSTEMS, INC.",6515 S 118TH ST,OMAHA,NE,68137,423430,Corporation,Unanswered,Unanswered,Unanswered,NA,462,04/09/2020,Waukesha State Bank,NE - 02
a $5-10 million,"DRM, INC.",5324 N 134th Ave,OMAHA,NE,68164,722513,Subchapter S Corporation,White,Male Owned,Non-Veteran,NA,250,04/04/2020,"Lake Forest Bank & Trust Company, National Association",NE - 02
a $5-10 million,E&N INC,1408 VETERANS DR Suite 202,ELKHORN,NE,68022,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/10/2020,First National Bank of Omaha,NE - 02
a $5-10 million,FBG SERVICE CORPORATOIN,407 S 27th Ave,OMAHA,NE,68127,561720,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,NA,NA,04/28/2020,First National Bank of Omaha,NE - 02
a $5-10 million,FLAGSHIP RESTAURANT GROUP LLC,14450 Eagle Run Drive Suite 100,OMAHA,NE,68116,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,NA,0,04/03/2020,Five Points Bank,NE - 02
